company_name,country,input_full_address,firm_id,input_industry
Zhtke Kp,UA,,3589128,
Stolychnyi Pekarnyi Dim Tov,UA,,17440197,
Sook S Tov,UA,,14838604,
Flashcom Ukraine LLC,UA,,21595170,
Movi Khels Tov,UA,,4053286,
Blok Treid Tov,UA,,4052900,
Karpatyavtotsentr Tov,UA,,3588404,
Treiding Prodakt Kompani TOV,UA,,16982348,
Fc Delta + Finance Llc Llc,UA,,17034264,
Tt. Tov,UA,,17412896,
!fcm Llc,UA,,17417546,
Alcon Laboratorios Uruguay S.A.,UY,,2028261,
Frigorifico Carrasco S.A.,UY,,1260157,
Linh Huong Production Trading Company Limited,VN,,9237237,
Duong Hieu Trading And Mining Joint Stock Company,VN,,3744677,
Huali Group Vietnam Company Limited,VN,,17015631,
S.I.M. Vn Corporation,VN,,22211793,
Nghia Tin Import - Export Company Limited,VN,,22220638,
"Ptm Automobile Service, Trading And Manufacturing Joint Stock Company",VN,,2441492,
Vicem Energy And Enviroment Joint Stock Company,VN,,2387594,
Vietnam Hengxin New Material Technology Company Limited,VN,,17016119,
Suntone Technology Company Limited,VN,,22205860,
Ly Tan Tai Limited Company,VN,,9205379,
Cong Ty Tnhh Tap Oan Nguyen Quoc,VN,,14052052,
Hkb - Hoa Lu Paper Joint Stock Company,VN,,22208957,
Nam Son Company Limited,VN,,9199552,
Bbl Home New Materials Company Limited,VN,,17034296,
Apds Vietnam Limited,VN,,13383223,
Zn Asia Ltd.,VN,,22215589,
Tan Phat Agriculture And Forestry Company Limited,VN,,14814486,
Trung Nam Trading Company Limited,VN,,9225577,
Nam Dinh Vu Port Joint Stock Company,VN,,7385501,
Co May Sa Dec Company Limited,VN,,17009268,
"Nikkiso Vietnam, Inc",VN,,7351710,
Cong Ty Tnhh Tap Oan Delta Thuy Si,VN,,14829063,
Sai Gon - Ha Tinh Beer One Member Company Limited,VN,,9211127,
"Given Imaging Vietnam Co., Ltd",VN,,7371416,
Kim Tin Flooring Corporation,VN,,12860923,
"Vexos Vietnam Co., Ltd",VN,,13183321,
"Dynaplast Packaging (Viet Nam) Co.,Ltd",VN,,7383355,
Newfeed Agricultural Investment And Trading Joint Stock Company,VN,,14842929,
Ecopark Nomura Real Estate Joint Stock Company,VN,,22211216,
Vitalink Vietnam Company Limited,VN,,14834587,
"Panasonic System Networks Vietnam Co., Ltd",VN,,7354038,
Goertek Electronics Vietnam Company Limited,VN,,22211055,
Phat Dat Real Estate Investment And Development Company Limited,VN,,22218965,
Mi Hong Ba Chieu Company Limited,VN,,22217019,
Hop Luc Electromechanical Joint Stock Company,VN,,14062724,
Capitaland - Hien Duc Joint Stock Company,VN,,14639616,
Edgetel Viet Nam Company Limited,VN,,17005985,
Nam Hung Metal Joint Stock Company,VN,,9260673,
Penta Ge.Co.Construction D.O.O.,YU,,9037629,
Hlm D.O.O.,YU,,12957694,
Auto Cacak Komerc D.O.O. Cacak,YU,,2066732,
Integrated Micro-Electronics D.O.O. Nis,YU,,9981635,
D Plus Proizvodnja I Distribucija D.O.O.,YU,,3408484,
Ino-Pharm D.O.O. Beograd,YU,,2128272,
Tridonic Srb D.O.O.,YU,,10014161,
Vorwerk Autotec Serbia D.O.O.,YU,,12965280,
Industrija Mesa Nedeljkovic D.O.O. Sasinci,YU,,3407317,
Soha Info D.O.O. Novi Banovci,YU,,14810353,
Obojeni Metali D.O.O. 2000 Bor,YU,,6811165,
Hypermax D.O.O. - U Likvidaciji,YU,,21682136,
Mm Trans Plus 2023 D.O.O.,YU,,21674045,
Webg D.O.O. Beograd,YU,,9037413,
