company_name,country,firm_id
A.B. Confort S.A.S.,CO,1180194
Aeroexpress del Ecuador Transam CIA Ltda,CO,1180638
Agrosemillas S.A.,CO,1181332
Americaflor Fusionada S.A.S.,CO,1182181
Andagoya Ltda en Liquidacion,CO,1182304
Angel Diagnostica S.A.S.,CO,1182398
Auto Palacio S.A.,CO,1183412
Brilladora Occidental Limitada,CO,1184519
Castellanos Garcia - Herrera - Transportes Etul S.A.S.,CO,1185957
Granadina Soluciones Juridicas S.A.S.,CO,1187093
Comercializadora Cruman Ltda,CO,1187782
CIA de Vigilancia Privada Especializada Ltda Covipe Ltda,CO,1188588
Conjunto Las Delicias Y La Juanita Ltda,CO,1189045
Transportes Ari y CIA S.A.S.,CO,1193409
Inter Redes Y Conectores Sas,CO,1200030
Inversiones 103 S.A.S,CO,1200369
Inversiones Acevedo Rojas y Cia S.C.S.,CO,1200395
Inversiones Kasahstan Sas,CO,1201543
Inversiones Kivazi Limitada,CO,1201547
Inversiones Thoumi Y Compania S. En C.,CO,1202516
Inversiones Torres Loboguerrero S A S,CO,1202532
Inversiones Toscana Y Cia Ltda,CO,1202534
Jorge Enrique Gonzalez Soler Y Cia S. En C.,CO,1203483
Jorge Ghisays R. e Hijos Ltda,CO,1203486
Jose Ramon Morales Ruiz Y Cia S En C,CO,1203558
Latina De Comunicaciones Y Construcciones Limitada,CO,1204466
Pilotos Practicos del Caribe Pilcar S.A.S.,CO,1209235
Rivera Ramirez y Ricaurte Rivertur Ltda,CO,1212170
Sociedad Transportadora de Carga S.A Sotracar S.A,CO,1214491
Sulco S.A.,CO,1214953
Banco Hipotecario De La Vivienda,CR,14784610
Struers S.R.O.,CZ,4874861
Senecura Seniorcentrum Mopt A.S.,CZ,4899689
Innosped S.R.O.,CZ,16575376
Hidalgo E Hidalgo S.A.,EC,1219065
El Tecal C.A. Elteca,EC,2404933
NabuMinds OU,EE,13268355
Aktsiaselts Hansa Candle,EE,2344694
P. DUSSMANN EESTI Osauhing,EE,8420839
OU Bestair,EE,3570468
Premium d.o.o.,HR,8547776
Veterinarska Ambulanta Martes d.o.o.,HR,9930654
Vjetroelektrana Bruvno d.o.o.,HR,17007664
Adrihub d.o.o.,HR,21619412
JELD-WEN Magyarorszag Kft.,HU,2417604
FEHERVILL-AM Kft.,HU,2599833
Autoneum Magyarorszag Kft.,HU,14089281
Burkle Hungary Kft.,HU,13167701
Kumyang Electric Hungary Kft.,HU,14769370
SPECUAL Kereskedelmi Korlatolt Felelossegu Tarsasag felszamolas alatt,HU,3209350
RWi Zrt.,HU,2416351
Pt. Pertamina Hulu Energi,ID,7309667
Pt Sumber Alfaria Trijaya Tbk,ID,2436711
Pt. Muara Bukit Billiton,ID,14798921
Pt. Alamtri Resources Indonesia Tbk.,ID,2405579
PT Prima Vijaya Indah Tour,ID,7317880
Pt Kemagi Multi Gemilang,ID,22176746
PT Dragon Forever,ID,14648808
PT Swadharma Kerry Satya,ID,13397376
PT Yang Mandiri Utama Sukses,ID,7299695
Pt. Venture Electronics Indonesia,ID,21619995
PT Rubber Duck Snack Industry,ID,16448969
PT Tropik Energi Pandan,ID,7310487
PT Sam Sam Jaya Garments,ID,7291800
PT Buana Baja Sukses,ID,12890102
PT Prima Jabar Steel,ID,7291693
Reliance Retail Ventures Limited,IN,3308235
Samsung India Electronics Private Limited,IN,2390384
Hpcl-Mittal Energy Limited,IN,2616613
Gujarat Urja Vikas Nigam Limited,IN,3749734
V2 Retail Ltd.,IN,2334571
Enkei Wheels India Ltd.,IN,3050694
Vaibhav Edibles Private Limited,IN,3876061
Opelina Sustainable Services Private Limited,IN,3912036
I Fab Steel Private Limited,IN,6277087
Jhabua Power Limited,IN,3924773
Sangam Milk Producer Company Limited,IN,6619121
Fedders Electric and Engineering Ltd.,IN,1623024
Forbes Precision Tools and Machine Parts Ltd.,IN,14681136
UAB Autokausta Keliai,LT,9964532
UAB Holmbergs Safety System,LT,8421762
UAB Landmark Capital,LT,17123136
Kaefer UAB,LT,9392500
CCM Trading SIA,LV,8397480
Lapp Miltronic SIA,LV,8392863
Fixparts SIA,LV,12973325
"Tia Rosa, S.A. De C.V.",MX,12971825
"Grupo Financiero Aserta, S.A. De C.V.",MX,3552418
"Crabi, S.A. De C.V.",MX,14071407
Sime Darby Berhad,MY,2363441
Petronas Chemicals Group Berhad,MY,3055861
