ISIC,Country Code,Company Name ENG,Company Name Local
2599,AR,Acerolatina S.A.,Acerolatina S.A.
2932,HU,ACPS Automotive Kft.,ACPS Automotive Kft.
1071,TR,Adkoturk Gida San. Ve Tic. Ltd. Sti.,Adkoturk Gıda San. Ve Tic. Ltd. Şti.
